Edad;Frecuencia;periodo;Total
De 16 a 24 años;Muy a menudo;2022;77,4
De 16 a 24 años;Muy a menudo;2018;83,4
De 16 a 24 años;Muy a menudo;2013;74,5
De 16 a 24 años;Algunas veces;2022;21,6
De 16 a 24 años;Algunas veces;2018;15,9
De 16 a 24 años;Algunas veces;2013;24,1
De 16 a 24 años;Nunca;2022;1
De 16 a 24 años;Nunca;2018;0,7
De 16 a 24 años;Nunca;2013;1,4
De 25 a 34 años;Muy a menudo;2022;73,5
De 25 a 34 años;Muy a menudo;2018;80,5
De 25 a 34 años;Muy a menudo;2013;69,1
De 25 a 34 años;Algunas veces;2022;25,4
De 25 a 34 años;Algunas veces;2018;18,6
De 25 a 34 años;Algunas veces;2013;29,8
De 25 a 34 años;Nunca;2022;1,1
De 25 a 34 años;Nunca;2018;0,9
De 25 a 34 años;Nunca;2013;1,1
De 35 a 49 años;Muy a menudo;2022;68,1
De 35 a 49 años;Muy a menudo;2018;74,6
De 35 a 49 años;Muy a menudo;2013;64,1
De 35 a 49 años;Algunas veces;2022;30,3
De 35 a 49 años;Algunas veces;2018;23,9
De 35 a 49 años;Algunas veces;2013;34,2
De 35 a 49 años;Nunca;2022;1,6
De 35 a 49 años;Nunca;2018;1,5
De 35 a 49 años;Nunca;2013;1,6
De 50 a 64 años;Muy a menudo;2022;63,4
De 50 a 64 años;Muy a menudo;2018;67
De 50 a 64 años;Muy a menudo;2013;57,7
De 50 a 64 años;Algunas veces;2022;34,3
De 50 a 64 años;Algunas veces;2018;30,7
De 50 a 64 años;Algunas veces;2013;39,7
De 50 a 64 años;Nunca;2022;2,3
De 50 a 64 años;Nunca;2018;2,3
De 50 a 64 años;Nunca;2013;2,6
De 65 y más años;Muy a menudo;2022;62,5
De 65 y más años;Muy a menudo;2018;61,3
De 65 y más años;Muy a menudo;2013;62,2
De 65 y más años;Algunas veces;2022;34,6
De 65 y más años;Algunas veces;2018;35,7
De 65 y más años;Algunas veces;2013;35,3
De 65 y más años;Nunca;2022;2,9
De 65 y más años;Nunca;2018;3
De 65 y más años;Nunca;2013;2,5
