Edad;Sexo;Total
Todas las edades;Ambos sexos;3870
Todas las edades;Hombres;2911
Todas las edades;Mujeres;959
Menores de 15 años;Ambos sexos;9
Menores de 15 años;Hombres;6
Menores de 15 años;Mujeres;3
De 15 a 29 años;Ambos sexos;301
De 15 a 29 años;Hombres;225
De 15 a 29 años;Mujeres;76
De 30 a 39 años;Ambos sexos;518
De 30 a 39 años;Hombres;395
De 30 a 39 años;Mujeres;123
De 40 a 44 años;Ambos sexos;379
De 40 a 44 años;Hombres;285
De 40 a 44 años;Mujeres;94
De 45 a 49 años;Ambos sexos;412
De 45 a 49 años;Hombres;319
De 45 a 49 años;Mujeres;93
De 50 a 54 años;Ambos sexos;450
De 50 a 54 años;Hombres;340
De 50 a 54 años;Mujeres;110
De 55 a 59 años;Ambos sexos;324
De 55 a 59 años;Hombres;237
De 55 a 59 años;Mujeres;87
De 60 a 64 años;Ambos sexos;270
De 60 a 64 años;Hombres;205
De 60 a 64 años;Mujeres;65
De 65 a 69 años;Ambos sexos;257
De 65 a 69 años;Hombres;187
De 65 a 69 años;Mujeres;70
De 70 a 74 años;Ambos sexos;247
De 70 a 74 años;Hombres;182
De 70 a 74 años;Mujeres;65
De 75 a 79 años;Ambos sexos;254
De 75 a 79 años;Hombres;181
De 75 a 79 años;Mujeres;73
De 80 a 84 años;Ambos sexos;257
De 80 a 84 años;Hombres;203
De 80 a 84 años;Mujeres;54
De 85 a 89 años;Ambos sexos;137
De 85 a 89 años;Hombres;106
De 85 a 89 años;Mujeres;31
De 90 a 94 años;Ambos sexos;45
De 90 a 94 años;Hombres;35
De 90 a 94 años;Mujeres;10
De 95 años y más;Ambos sexos;10
De 95 años y más;Hombres;5
De 95 años y más;Mujeres;5
